"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
42,52,63,45,68,38,70,88,23,66,15,13,60,23,14,13,14,20,13,35,33,20,59,17,18,16,12,19,27,87,89,78,90,90,"18","18","22","51","58","34","87","2018-08-09","2027-06-01",0,7,"Belgium","Thibaut","Courtois","Courtois","Thibaut Courtois",37867,8134,8134,192119,1430,90,90,"1992-05-11T00:00:00.000Z",34,243,"Real Madrid",53,10,4,"real-madrid",1,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p192119.png",3,3,20,30,13,"Left",1,3,5,2,700000000,200,96,"Male",,,"Yes","No",23500000,20500000,17500000,288462,253037,215081,"","GK Far Throw, GK Far Reach","47","24","30","50","16","50","GK","-",false,false,false,"thibaut-courtois",88,29,29,29,32,31,34,34,32,30,31
63,62,67,72,87,76,87,94,82,92,42,96,86,87,80,80,96,69,89,82,86,46,92,91,44,42,91,82,93,8,10,11,11,14,"89","44","80","87","72","82","11","2023-08-12","2027-06-01",0,14,"England","Harry","Kane","Kane","Harry Kane",15538,19742,19742,202126,2310,90,90,"1993-07-28T00:00:00.000Z",32,21,"Bayern München",19,10,3,"bayern-munchen",9,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p202126.png",5,2,30,1,368,"Right",3,4,5,1,,188,86,"Male",,,"Yes","No",110500000,97000000,82500000,461538,404858,344129,"Precision Header, Low Driven Shot, Gamechanger, Long Ball Pass, First Touch, Press Proven","","63","93","81","82","53","83","ST","-",false,false,false,"harry-kane",19,66,63,63,68,82,81,85,86,83,88
93,88,94,80,84,75,67,91,68,88,50,95,84,94,80,94,90,68,75,78,89,55,91,87,55,41,79,85,80,6,6,14,13,10,"83","51","84","81","90","78","10","2023-08-12","2028-06-01",0,18,"France","Ousmane","Dembélé","O.Dembélé","Ousmane Dembélé",29783,9448,29009,231443,2347,90,92,"1997-05-15T00:00:00.000Z",29,73,"Paris Saint-Germain",16,10,7,"paris-saint-germain",10,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p231443.png",0,9,100,1001,261,"Left",5,5,5,1,,178,67,"Male",,,"Yes","No",156000000,136500000,116000000,346154,303644,258097,"Low Driven Shot, Gamechanger, Inventive, Rapid, Trickster, Quick Step","","91","87","81","90","55","74","ST","RW | CAM | RM",false,false,false,"ousmane-dembele",18,72,69,63,70,88,83,90,91,90,88
97,96,93,82,90,83,77,92,61,88,19,91,83,93,74,92,95,70,78,74,87,15,91,86,34,24,87,80,86,13,5,7,6,11,"85","25","82","86","92","72","9","2024-07-01","2029-06-01",0,18,"France","Kylian","Mbappé","Mbappé","Kylian Mbappé",21499,25496,25496,231747,2260,91,94,"1998-12-20T00:00:00.000Z",27,243,"Real Madrid",53,10,4,"real-madrid",10,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p231747.png",0,9,70,1016,343,"Right",5,4,5,1,1000000000,182,81,"Male",,,"Yes","No",194000000,170000000,144500000,600962,527160,448086,"Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch","Career One Club Player","97","89","78","90","34","78","ST","LW",false,false,false,"kylian-mbappe",17,62,58,49,59,88,80,89,91,90,90
61,62,55,60,80,81,80,92,85,93,84,72,85,90,79,80,74,64,79,91,93,86,88,86,88,84,71,85,62,10,10,7,8,14,"80","86","82","83","66","81","10","2026-08-18","2030-06-01",0,45,"Spain","Rodrigo","Hernández Cascante","Rodrigo","Rodri",33091,15997,33091,231866,2339,90,91,"1996-06-22T00:00:00.000Z",30,241,"FC Barcelona",53,10,4,"fc-barcelona",16,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p231866.png",0,3,40,1526,5,"Right",3,4,5,2,,190,82,"Male",,,"Yes","No",125500000,110000000,93500000,257976,226295,192351,"Power Shot, Aerial Fortress, Press Proven, Bruiser","Career Injury Prone","62","76","83","78","84","82","CDM","CM",false,false,false,"rodrigo-hernandez-cascante",19,83,82,84,87,81,86,82,81,79,79
94,92,94,84,75,84,68,85,62,83,26,86,85,90,80,93,87,62,50,77,82,21,81,87,41,26,73,81,76,5,7,7,10,7,"75","30","81","79","90","70","8","2018-07-12","2032-06-01",0,54,"Brazil","Vinícius José","de Oliveira Júnior","Vini Jr.","Vini Jr.",39822,42415,39805,238794,2161,89,92,"2000-07-12T00:00:00.000Z",25,243,"Real Madrid",53,10,4,"real-madrid",7,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p238794.png",0,9,90,1000,1,"Right",5,4,5,1,1000000000,176,73,"Male",,,"Yes","No",155500000,136500000,116000000,480769,421727,358468,"Low Driven Shot, Inventive, Technical, Rapid, First Touch, Quick Step","","93","82","78","88","33","72","LW","ST | LM",false,false,false,"vinicius-jose-de-oliveira-junior",15,63,58,48,60,86,79,87,86,87,82
81,92,66,69,93,80,93,94,88,86,43,95,75,83,58,79,96,62,85,66,78,42,94,83,47,33,90,77,89,7,14,13,7,11,"82","41","74","89","81","80","11","2022-07-01","2034-06-01",0,36,"Norway","Erling","Haaland","Haaland","Erling Haaland",11580,15124,15124,239085,2269,91,93,"2000-07-21T00:00:00.000Z",25,10,"Manchester City",13,10,8,"manchester-city",9,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p239085.png",15,5,20,20,277,"Left",3,3,5,1,,195,94,"Male",,,"Yes","No",190000000,167000000,142000000,615624,540021,459018,"Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer","","87","91","69","80","50","89","ST","-",false,false,false,"erling-haaland",19,64,62,63,65,80,76,82,86,82,89
85,86,86,85,87,86,79,89,76,90,60,91,87,90,80,92,83,74,62,78,87,55,89,91,62,52,68,86,82,9,15,8,8,14,"76","57","84","87","87","81","11","2025-01-17","2029-06-01",0,20,"Georgia","Khvicha","Kvaratskhelia","Kvaratskhelia","Khvicha Kvaratskhelia",20430,21449,21449,247635,2372,89,92,"2001-02-12T00:00:00.000Z",25,73,"Paris Saint-Germain",16,10,7,"paris-saint-germain",7,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p247635.png",6,4,40,3506,2,"Right",5,5,5,1,,183,70,"Male",,,"Yes","No",155500000,136500000,116000000,207692,182186,154858,"Finesse Shot, Power Shot, Gamechanger, Inventive, First Touch, Relentless","","86","84","82","89","58","82","LW","RW | LM | RM",false,false,false,"khvicha-kvaratskhelia",19,75,72,67,74,86,84,88,88,87,84
85,81,91,86,61,86,62,91,66,88,50,86,94,91,86,92,85,81,43,84,90,44,78,83,54,33,71,87,72,9,11,9,10,10,"75","44","87","74","87","76","10","2024-07-07","2029-06-01",0,18,"France","Michael","Olise","Olise","Michael Olise",26101,29317,29317,247827,2250,90,92,"2001-12-12T00:00:00.000Z",24,21,"Bayern München",19,10,3,"bayern-munchen",17,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p247827.png",0,9,70,1005,1,"Left",5,3,5,2,,180,78,"Male",,,"Yes","No",176500000,155000000,132000000,259615,227732,193573,"Finesse Shot, Incisive Pass, Tiki Taka, Whipped Pass, Inventive, First Touch","","83","79","87","90","45","69","RM","RW | CAM",false,false,false,"michael-olise",18,71,66,56,70,88,85,89,87,88,80
77,76,92,92,70,89,70,87,73,92,84,80,93,93,79,89,75,72,50,91,94,74,76,81,84,79,56,88,53,12,7,11,8,8,"71","79","87","78","85","80","10","2020-08-04","2030-06-01",0,45,"Spain","Pedro","González López","Pedri","Pedri",30489,14291,30486,251854,2355,90,93,"2002-11-25T00:00:00.000Z",23,241,"FC Barcelona",53,10,4,"fc-barcelona",8,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/27/heads/p251854.png",24,3,20,1509,1,"Right",4,4,5,1,1000000000,174,60,"Male",,,"Yes","No",185000000,162000000,138000000,240385,210864,179234,"Incisive Pass, Long Ball Pass, Tiki Taka, Technical, First Touch, Press Proven","","77","70","86","91","74","76","CM","CDM | CAM",false,false,false,"pedro-gonzalez-lopez",17,84,81,76,85,86,89,87,84,85,77
